"노드 ID","정류소번호","정류소명","X좌표","Y좌표","정류소 타입"
"100000001","01001","종로2가사거리","126.987752","37.569808","중앙차로"
"100000002","01002","창경궁.서울대학교병원","126.996522","37.579433","중앙차로"
"100000003","01003","명륜3가.성대입구","126.998251","37.582581","중앙차로"
"100000004","01004","종로2가.삼일교","126.9876130976","37.5685792736","중앙차로"
"100000005","01005","혜화동로터리.여운형활동터","127.001744","37.586243","중앙차로"
"101000305","01006","서대문역사거리","126.966893","37.566137","중앙차로"
"100000380","01007","서울역사박물관.경희궁앞","126.97038","37.569135","중앙차로"
"100000379","01008","서울역사박물관.경희궁앞","126.97076","37.569515","중앙차로"
"100000384","01009","광화문","126.976357","37.570142","중앙차로"
"100000385","01010","광화문","126.9778894864","37.570267935","중앙차로"
"100000386","01011","종로1가","126.9810660928","37.5701482455","중앙차로"
"100000387","01012","종로1가","126.98163","37.570271","중앙차로"
"100000388","01013","종로2가","126.984991","37.57017","중앙차로"
"100000389","01014","종로2가","126.986536","37.570238","중앙차로"
"100000390","01015","종로3가.탑골공원","126.9892689914","37.5702567706","중앙차로"
"100000391","01016","종로3가.탑골공원","126.9899877751","37.5703605443","중앙차로"
"100000392","01017","종로4가.종묘","126.9947218896","37.5705069968","중앙차로"
"100000393","01018","종로4가.종묘","126.995396","37.570637","중앙차로"
"100000394","01019","종로5가.광장시장","126.999061","37.570787","중앙차로"
"100000395","01020","종로5가.광장시장","126.999606","37.570931","중앙차로"
"100000396","01021","종로6가.동대문종합시장","127.004464","37.57101","중앙차로"
"100000397","01022","종로6가.동대문종합시장","127.0057137364","37.5711272339","중앙차로"
"100000398","01023","동대문역.흥인지문","127.013813","37.572449","중앙차로"
"100000365","01037","동대문(흥인지문)","127.012453","37.572102","중앙차로"
"100000366","01041","동묘앞","127.018589326","37.5738521758","중앙차로"
"100000367","01044","동묘앞","127.0195285734","37.574281529","중앙차로"
"100000006","01101","경기상고","126.9693634554","37.5875502159","일반차로"
